page,image_src,status_code
https://bongau.edu.et/,https://bongau.edu.et/web/image/6172/facebook.png,"HTTPSConnectionPool(host='bongau.edu.et', port=443): Max retries exceeded with url: /web/image/6172/facebook.png (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025178B016D0>, 'Connection to bongau.edu.et timed out. (connect timeout=10)'))"
https://bongau.edu.et/contactus,https://maps.googleapis.com/maps/api/staticmap?center=%2C++%2C+Ethiopia&size=298x298&zoom=8&sensor=false&key=AIzaSyDOWlmDW-7DbLmOR9ZsT5AOEXf4n6TFwQA,403
http://bongau.edu.et/news,https://bongau.edu.et/web/image/2372/bonga%201.jpg,"HTTPSConnectionPool(host='bongau.edu.et', port=443): Max retries exceeded with url: /web/image/2372/bonga%201.jpg (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025178B00CD0>, 'Connection to bongau.edu.et timed out. (connect timeout=10)'))"
http://bongau.edu.et/news,https://bongau.edu.et/web/image/2374/almaz.jpg,"HTTPSConnectionPool(host='bongau.edu.et', port=443): Max retries exceeded with url: /web/image/2374/almaz.jpg (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025178B00A50>, 'Connection to bongau.edu.et timed out. (connect timeout=10)'))"
https://bongau.edu.et/slides,https://bongau.edu.et/am_ET/profile/avatar/2?field=image_128,403
https://bongau.edu.et/slides,https://bongau.edu.et/am_ET/profile/avatar/117?field=image_128,403
https://bongau.edu.et/slides,https://bongau.edu.et/am_ET/profile/avatar/117?field=image_128,403
https://bongau.edu.et/slides,https://bongau.edu.et/am_ET/profile/avatar/80?field=image_128,403
https://bongau.edu.et/slides,https://bongau.edu.et/am_ET/profile/avatar/80?field=image_128,403
https://bongau.edu.et/director-for-community-services,https://bongau.edu.et/web/image/3409/logo.JPG,"HTTPSConnectionPool(host='bongau.edu.et', port=443): Max retries exceeded with url: /web/image/3409/logo.JPG (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025178B007D0>, 'Connection to bongau.edu.et timed out. (connect timeout=10)'))"
https://bongau.edu.et/12-student-result?#scrollTop=0,https://bongau.edu.et/web/image/5191/1818.JPG,"HTTPSConnectionPool(host='bongau.edu.et', port=443): Max retries exceeded with url: /web/image/5191/1818.JPG (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025178B00050>, 'Connection to bongau.edu.et timed out. (connect timeout=10)'))"
https://bongau.edu.et/about-bu-1,https://www.bongau.edu.et/web/image/2716/1200px-Add_user_icon_%28blue%29.svg.png,"HTTPSConnectionPool(host='www.bongau.edu.et', port=443): Max retries exceeded with url: /web/image/2716/1200px-Add_user_icon_%28blue%29.svg.png (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000025178B011D0>: Failed to resolve 'www.bongau.edu.et' ([Errno 11001] getaddrinfo failed)""))"
